CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Aspire Public Schools,Aspire Huntington Park Charter School,2008,Oakland,CA,94606,KG,04,,,,,,,,,
Beginning with Children Foundation,Community Partnership Charter School,2000,Brooklyn,NY,11205,,,,,,,,,,,
Beginning with Children Foundation,Beginning With Children Charter School,2002,Brooklyn,NY,11206,,,,,,,,,,,
Betty Shabazz International Charter School,Shabazz International Elem Chartr,2006,Chicago,IL,,KG,12,,,,,,,,,
Betty Shabazz International Charter School,Shabazz International Elem Chartr - Dusable,2006,Chicago,IL,60615,09,11,,,,,,,,,
Betty Shabazz International Charter School,Shabazz International Elem Chartr - Sizemore,2006,Chicago,IL,60619,KG,08,,,,,,,,,
Bright Star,Stella Middle Charter Academy,2003,Los Angeles,CA,90016,05,08,,,,,,,,,
Bright Star,Bright Star Secondary Charter,2006,Los Angeles,CA,90016,09,11,,,,,,,,,
CAFA,Learning Foundation Performing Arts School,2003,Mesa,AZ,85203,KG,12,,,,,,,,,
CAFA,Learning Foundation And Performing Arts Alta Mesa,2006,Mesa,AZ,85205,KG,12,,,,,,,,,
CAFA,Learning Foundation And Performing Arts Gilbert,2006,Gilbert,AZ,85296,KG,12,,,,,,,,,
California Montessori Project,California Montessori Project-American River Campus,2001,Fair Oaks,CA,95628,,,,,,,,,,,
California Montessori Project,California Montessori Project-Capitol Campus,2006,Sacramento,CA,95816,KG,06,,,,,,,,,
California Montessori Project,California Montessori Project-Carmichael,2006,Carmichael,CA,95608,KG,08,,,,,,,,,
California Montessori Project,California Montessori Project-Elk Grove Campus,2006,Elk Grove,CA,95624,KG,08,,,,,,,,,
California Montessori Project,California Montessori Project-Shingle Springs Campus,2006,Shingle Springs,CA,95682,KG,08,,,,,,,,,
Calvin Nelms,Calvin Nelms High School,1999,Katy,TX,77449,09,12,,,,,,,,,
Calvin Nelms,Calvin Nelms Middle School,2002,Katy,TX,77449,04,08,,,,,,,,,
Calvin Nelms,Calvin Nelms - Northwest,2005,Hempstead,TX,77445,03,12,,,,,,,,,
Calvin Nelms,Calvin Nelms Hospital Campus,2004,Houston,TX,77090,01,11,,,,,,,,,
Camino Nuevo,Camino Nuevo Charter Academy,2000,Los Angeles,CA,90005,KG,08,,,,,,,,,
Camino Nuevo,Camino Nuevo Charter Academy-Burlington Campus,2000,,,,,,,,,,,,,,
Camino Nuevo,Camino Nuevo High School Charter,2004,Los Angeles,CA,90057,09,12,,,,,,,,,
Capital One - University of New Orleans (UNO) Charter Network - New Beginnings School Foundation,Pierre A. Capdau - UNO Charter School,2004,New Orleans,LA,70122,KG,08,,,,,,,,,
Capital One - University of New Orleans (UNO) Charter Network - New Beginnings School Foundation,Medard H. Nelson - UNO Charter School,2005,New Orleans,LA,70119,PK,08,,,,,,,,,
Capital One - University of New Orleans (UNO) Charter Network - New Beginnings School Foundation,Thurgood Marshall - UNO Early College HS,2006,New Orleans,LA,70119,09,12,,,,,,,,,
Career Success Schools,Career Success School -- Sage Campus,1999,Phoenix,AZ,85018,KG,08,,,,,,,,,
Career Success Schools,Career Success High School - Main Campus,2000,Phoenix,AZ,85017,09,12,,,,,,,,,
Career Success Schools,Career Success High School - Cave Creek,2002,Cave Creek,AZ,85327,09,12,,,,,,,,,
Career Success Schools,Career Success High School - Copper Square,2003,Phoenix,AZ,85003,09,12,,,,,,,,,
Career Success Schools,Career Success High School - Glendale,2003,Phoenix,AZ,85017,09,12,,,,,,,,,
Casa Gracia/Trinity,Trinity Charter School - Bokenkamp Campus,2004,Corpus Christ,TX,78412,01,10,,,,,,,,,
Casa Gracia/Trinity,Trinity Charter School - Krause Campus,2004,Katy,TX,77494,08,12,,,,,,,,,
Casa Gracia/Trinity,Trinity Charter School - Nelson Campus,2004,Denton,TX,76207,06,11,,,,,,,,,
Casa Gracia/Trinity,Trinity Charter School - New Life Campus,2004,Canyon Lake,TX,78133,06,11,,,,,,,,,
Center City,Center City Public Charter School - Brightwood Campus,2008,Washington,DC,20011,PK,08,,,,,,,,,
Center City,Center City Public Charter School - Capitol Hill Campus,2008,Washington,DC,20003,PK,08,,,,,,,,,
Center City,Center City Public Charter School - Congress Heights Campus,2008,Washington,DC,20032,PK,08,,,,,,,,,
Center City,Center City Public Charter School - Petworth Campus,2008,Washington,DC,20011,PK,08,,,,,,,,,
Center City,Center City Public Charter School - Shaw Campus,2008,Washington,DC,20001,PK,08,,,,,,,,,
Center City,Center City Public Charter School - Trinidad Campus,2008,Washington,DC,20002,PK,08,,,,,,,,,
Center for Academic Success Inc,"Center For Academic Success, The #1",1997,Sierra Vista,AZ,85635,,,,,,,,,,,
Center for Academic Success Inc,"Center For Academic Success, The #2",1998,Douglas,AZ,85607,09,12,,,,,,,,,
Center for Academic Success Inc,"Center For Academic Success, The #3",2001,Douglas,AZ,85607,KG,04,,,,,,,,,
Center for Academic Success Inc,Center For Academic Success #4,2004,Douglas,AZ,85607,05,08,,,,,,,,,
Center for Academic Success Inc,Center For Academic Success #5,2004,Sierra Vista,AZ,85635,KG,08,,,,,,,,,
