CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
South Texas Education Technologies,Horizon Montessori,2004,Mcallen,TX,78501,PK,06,,,,,,,,,
South Texas Education Technologies,Horizon Montessori Ii,2007,Weslaco,TX,78596,KG,06,,,,,,,,,
St. Hope,Sacramento Charter High,2003,Sacramento,CA,95817,09,12,,,,,,,,,
St. Hope,St. Hope Public School 7 (Ps7),2003,Sacramentio,CA,95820,KG,08,,,,,,,,,
St. Hope,St. Hope Leadership Charter School,2008,New York,NY,10027,05,06,,,,,,,,,
Student Alternatives Program Incorporated,Gateway Academy Town Lake,1999,Laredo,TX,78041,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Mid-Valley Academy Mercedes,1999,Mercedes,TX,78750,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Mid-Valley Academy San Benito,1999,Mercedes,TX,78570,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Paso Del Norte Academy Mesa,1999,El Paso,TX,79907,09,12,,,,,,,,,
Student Alternatives Program Incorporated,South Plains Academy,1999,Lubbock,TX,79412,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Mid-Valley Academy-Mcallen,2002,Mcallen,TX,78501,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Paseo Del Norte Acad Ysleta,2006,El Paso,TX,79902,09,12,,,,,,,,,
Student Alternatives Program Incorporated,Gateway Academy Sierra Vista,2007,,,,,,,,,,,,,,
Summit Academies,Summit Academy - Akron Elementary School,1999,Akron,OH,44305,KG,06,,,,,,,,,
Summit Academies,Summit Academy - Canton Elementary School (Community School for Alternative Learners - Canton),2000,Canton,OH,44707,KG,08,,,,,,,,,
Summit Academies,Summit Academy - Akron Middle School,2001,Akron,OH,43305,06,08,,,,,,,,,
Summit Academies,Summit Academy - Lorain Elementary School (Community School for Alternative Learners - Lorain),2001,Lorain,OH,44055,KG,06,,,,,,,,,
Summit Academies,Summit Academy - Xenia Elementary School,2001,Xenia,OH,45385,01,07,,,,,,,,,
Summit Academies,Summit Academy Community School For Alternative Learners Of Middletown,2001,Middletown,OH,45044,01,07,,,,,,,,,
Summit Academies,Summit Academy - Akron Secondary School,2004,Akron,OH,44305,08,12,,,,,,,,,
Summit Academies,Summit Academy - Canton Secondary School,2004,Canton,OH,44709,09,12,,,,,,,,,
Summit Academies,Summit Academy - Cincinnati Community School,2004,Cincinnati,OH,45232,KG,07,,,,,,,,,
Summit Academies,Summit Academy - Columbus Elementary,2004,Columbus,OH,43229,01,06,,,,,,,,,
Summit Academies,Summit Academy - Dayton Community School,2004,Dayton,OH,45403,KG,07,,,,,,,,,
Summit Academies,Summit Academy - Lorain Secondary School,2004,Lorain,OH,44052,09,12,,,,,,,,,
Summit Academies,Summit Academy - Parma Community School,2004,Parma,OH,44130,KG,12,,,,,,,,,
Summit Academies,Summit Academy - Toledo Elementary School,2004,Toledo,OH,43612,KG,08,,,,,,,,,
Summit Academies,Summit Academy - Warren Elementary School,2004,Warren,OH,44484,KG,06,,,,,,,,,
Summit Academies,Summit Academy - Youngstown Secondary School,2004,Youngstown,OH,44507,08,12,,,,,,,,,
Summit Academies,Summit Academy - Columbus Middle School,2005,Columbus,OH,43229,05,08,,,,,,,,,
Summit Academies,Summit Academy - Lorain Middle School,2005,Lorain,OH,44052,07,08,,,,,,,,,
Summit Academies,Summit Academy - Painesville Elementary School,2005,Painesville,OH,44077,01,07,,,,,,,,,
Summit Academies,Summit Academy - Toledo Secondary School,2005,Toledo,OH,43612,07,11,,,,,,,,,
Summit Academies,Summit Academy - Warren Middle School,2005,Warren,OH,44484,06,10,,,,,,,,,
Summit Academies,Summit Academy - Youngstown Middle School,2005,Youngstown,OH,44506,06,08,,,,,,,,,
Summit Academies,Summit Academy Secondary School-Middletown,2005,Middletown,OH,45044,08,11,,,,,,,,,
Summit Academies,Summit Academy - Cincinnati Transition High School,2007,Cincinnati,OH,45232,06,11,,,,,,,,,
Summit Academies,Summit Academy - Columbus Transitional High School,2007,Columbus,OH,43227,07,11,,,,,,,,,
Summit Academies,Summit Academy - Dayton Transitional High School,2007,Dayton,OH,45403,08,12,,,,,,,,,
Tracy Learning Center,Discovery Charter,2001,Tracy,CA,95376,05,08,,,,,,,,,
Tracy Learning Center,Millennium Charter,2004,Tracy,CA,95376,09,12,,,,,,,,,
Tracy Learning Center,Primary Charter,2004,Tracy,CA,95376,KG,04,,,,,,,,,
Uncommon Schools,North Star Academy - Downtown Campus,1997,Newark,NJ,07102,,,,,,,,,,,
Uncommon Schools,Williamsburg Collegiate Charter School,2005,Brooklyn,NY,11211,,,,,,,,,,,
Uncommon Schools,Excellence Charter School Of Bedford Stuyvesant,2006,Brooklyn,NY,11233,,,,,,,,,,,
Uncommon Schools,Leadership Preparatory Charter School,2006,Brooklyn,NY,11216,,,,,,,,,,,
Uncommon Schools,True North Rochester Preparatory Charter School,2006,Rochester,NY,14619,,,,,,,,,,,
Uncommon Schools,Kings Collegiate Charter School,2007,Brooklyn,NY,11212,,,,,,,,,,,
Uncommon Schools,North Star Academy - Clinton Hill Campus,2007,Newark,NJ,07108,,,,,,,,,,,
Uncommon Schools,North Star Academy - Clinton Hill Campus,2007,Newark,NJ,07108,,,,,,,,,,,
Uncommon Schools,North Star Academy - Elementary Campus,2007,Newark,NJ,07114,,,,,,,,,,,
Uncommon Schools,Bedford-Stuyvesant Collegiate Charter School,2008,Brooklyn,NY,11221,05,05,,,,,,,,,
Uncommon Schools,True North Troy Preparatory Charter School,2008,Troy,NY,12180,05,05,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Octavio Paz (Elementary),1998,Chicago,IL,60607,KG,05,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Octavio Paz (Middle),1998,,,,06,08,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Rufino Tamayo,2005,Chicago,IL,60632,KG,08,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Bartolome de Las Cases,2006,Chicago,IL,60608,KG,08,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Carlos Fuentes,2006,Chicago,IL,60608,KG,08,,,,,,,,,
UNO Charter Schools Network,UNO Charter School Network - Officer Donald J. Marquez School,2007,Chicago,IL,60632,KG,08,,,,,,,,,
UNO Charter Schools Network,Esperanza Charter School,2007,New Orleans,LA,70119,KG,08,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Veterans Memorial High School,2008,Chicago,IL,60608,09,09,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Veterans Memorial School Campus A,2008,Chicago,IL,60632,KG,08,,,,,,,,,
UNO Charter Schools Network,Uno Charter School Network - Veterans Memorial School Campus B,2008,Chicago,IL,60632,KG,08,,,,,,,,,
Uplift Education,North Hills School,1997,Irving,TX,75039,06,08,,,,,,,,,
Uplift Education,Peak Academy,2005,Dallas,TX,75204,KG,05,,,,,,,,,
Uplift Education,Peak Advantage,2006,Dallas,TX,75204,06,08,,,,,,,,,
Uplift Education,North Hills Primary School,2007,Irving,TX,75039,KG,05,,,,,,,,,
Uplift Education,Williams Preparatory,2007,Dallas,TX,75235,09,10,,,,,,,,,
Uplift Education,Hampton Preparatory,2007,Dallas,TX,75232,09,10,,,,,,,,,
Uplift Education,Summit International Preparatory,2007,Arlington,TX,76011,09,10,,,,,,,,,
Uplift Education,Hampton Preparatory: Middle School Campus,2008,Dallas,TX,75232,05,05,,,,,,,,,
Uplift Education,North Hills Preparatory School: High School Campus,2008,Irving,TX,75039,09,12,,,,,,,,,
Uplift Education,Peak Preparatory School: High School Campus,2008,Dallas,TX,75204,09,11,,,,,,,,,
Uplift Education,Summit International Preparatory: Middle School Campus,2008,Arlington,TX,76011,06,08,,,,,,,,,
Uplift Education,Summit International Preparatory: Primary Campus,2008,Arlington,TX,76011,KG,05,,,,,,,,,
Uplift Education,Williams Preparatory: Middle School Campus,2008,Dallas,TX,75235,06,07,,,,,,,,,
Uplift Education,Williams Preparatory: Primary Campus,2008,Dallas,TX,75235,KG,02,,,,,,,,,
YES Prep Schools,Yes Prep - Southeast Campus,2000,Houston,TX,77304,06,12,,,,,,,,,
YES Prep Schools,Yes Prep - North Central Campus,2003,Houston,TX,77039,06,11,,,,,,,,,
YES Prep Schools,Yes Prep - Southwest Campus,2005,Houston,TX,77053,06,10,,,,,,,,,
YES Prep Schools,Yes Prep - East End Campus,2006,Houston,TX,77012,06,09,,,,,,,,,
YES Prep Schools,Yes Prep - Lee,2007,Houston,TX,77057,06,07,,,,,,,,,
